table,column
courseware_coursedynamicupgradedeadlineconfiguration,opt_out
courseware_dynamicupgradedeadlineconfiguration,id
courseware_dynamicupgradedeadlineconfiguration,change_date
courseware_dynamicupgradedeadlineconfiguration,enabled
courseware_dynamicupgradedeadlineconfiguration,deadline_days
courseware_lastseencoursewaretimezone,id
courseware_lastseencoursewaretimezone,last_seen_courseware_timezone
courseware_lastseencoursewaretimezone,user_id
courseware_offlinecomputedgrade,id
courseware_offlinecomputedgrade,course_id
courseware_offlinecomputedgrade,updated
courseware_offlinecomputedgrade,user_id
courseware_offlinecomputedgradelog,id
courseware_offlinecomputedgradelog,course_id
courseware_offlinecomputedgradelog,seconds
courseware_offlinecomputedgradelog,nstudents
courseware_orgdynamicupgradedeadlineconfiguration,id
courseware_orgdynamicupgradedeadlineconfiguration,change_date
courseware_orgdynamicupgradedeadlineconfiguration,enabled
courseware_orgdynamicupgradedeadlineconfiguration,org_id
courseware_orgdynamicupgradedeadlineconfiguration,deadline_days
courseware_orgdynamicupgradedeadlineconfiguration,opt_out
courseware_studentfieldoverride,id
courseware_studentfieldoverride,created
courseware_studentfieldoverride,modified
courseware_studentfieldoverride,course_id
courseware_studentfieldoverride,location
courseware_studentfieldoverride,field
courseware_studentfieldoverride,value
courseware_studentfieldoverride,student_id
courseware_studentmodule,id
courseware_studentmodule,module_type
courseware_studentmodule,module_id
courseware_studentmodule,course_id
courseware_studentmodule,done
courseware_studentmodule,created
courseware_studentmodule,modified
courseware_studentmodule,student_id
courseware_studentmodulehistory,id
courseware_studentmodulehistory,created
courseware_studentmodulehistory,student_module_id
courseware_xmodulestudentinfofield,id
courseware_xmodulestudentinfofield,field_name
courseware_xmodulestudentinfofield,value
courseware_xmodulestudentinfofield,created
courseware_xmodulestudentinfofield,modified
courseware_xmodulestudentinfofield,student_id
courseware_xmodulestudentprefsfield,id
courseware_xmodulestudentprefsfield,field_name
courseware_xmodulestudentprefsfield,value
courseware_xmodulestudentprefsfield,created
courseware_xmodulestudentprefsfield,modified
courseware_xmodulestudentprefsfield,module_type
courseware_xmodulestudentprefsfield,student_id
courseware_xmoduleuserstatesummaryfield,id
courseware_xmoduleuserstatesummaryfield,field_name
courseware_xmoduleuserstatesummaryfield,value
courseware_xmoduleuserstatesummaryfield,created
courseware_xmoduleuserstatesummaryfield,modified
courseware_xmoduleuserstatesummaryfield,usage_id
crawlers_crawlersconfig,id
crawlers_crawlersconfig,change_date
crawlers_crawlersconfig,enabled
crawlers_crawlersconfig,known_user_agents
credentials_credentialsapiconfig,id
credentials_credentialsapiconfig,change_date
credentials_credentialsapiconfig,enabled
credentials_credentialsapiconfig,internal_service_url
credentials_credentialsapiconfig,public_service_url
credentials_credentialsapiconfig,enable_learner_issuance
credentials_credentialsapiconfig,enable_studio_authoring
credentials_credentialsapiconfig,cache_ttl
credentials_notifycredentialsconfig,id
credentials_notifycredentialsconfig,change_date
credentials_notifycredentialsconfig,enabled
credentials_notifycredentialsconfig,arguments
credit_creditconfig,id
credit_creditconfig,change_date
credit_creditconfig,enabled
credit_creditconfig,cache_ttl
credit_creditcourse,id
credit_creditcourse,course_key
credit_creditcourse,enabled
credit_crediteligibility,id
credit_crediteligibility,created
credit_crediteligibility,modified
credit_crediteligibility,username
credit_crediteligibility,deadline
credit_crediteligibility,course_id
credit_creditprovider,id
credit_creditprovider,created
credit_creditprovider,modified
credit_creditprovider,provider_id
credit_creditprovider,active
credit_creditprovider,display_name
credit_creditprovider,enable_integration
credit_creditprovider,provider_url
credit_creditprovider,provider_status_url
credit_creditprovider,provider_description
credit_creditprovider,eligibility_email_message
credit_creditprovider,receipt_email_message
credit_creditprovider,thumbnail_url
credit_creditrequest,id
credit_creditrequest,created
credit_creditrequest,modified
credit_creditrequest,uuid
credit_creditrequest,username
credit_creditrequest,parameters
credit_creditrequest,status
credit_creditrequest,course_id
credit_creditrequest,provider_id
credit_creditrequirement,id
credit_creditrequirement,created
credit_creditrequirement,modified
credit_creditrequirement,namespace
credit_creditrequirement,name
credit_creditrequirement,display_name
credit_creditrequirement,criteria
credit_creditrequirement,active
credit_creditrequirement,course_id
credit_creditrequirement,sort_value
credit_creditrequirementstatus,id
credit_creditrequirementstatus,created
credit_creditrequirementstatus,modified
credit_creditrequirementstatus,username
credit_creditrequirementstatus,status
credit_creditrequirementstatus,reason
credit_creditrequirementstatus,requirement_id
dark_lang_darklangconfig,id
dark_lang_darklangconfig,change_date
dark_lang_darklangconfig,enabled
dark_lang_darklangconfig,released_languages
dark_lang_darklangconfig,beta_languages
dark_lang_darklangconfig,enable_beta_languages
demographics_userdemographics,id
demographics_userdemographics,created
demographics_userdemographics,modified
demographics_userdemographics,show_call_to_action
demographics_userdemographics,user_id
discounts_discountpercentageconfig,id
discounts_discountpercentageconfig,change_date
discounts_discountpercentageconfig,percentage
discounts_discountrestrictionconfig,id
discounts_discountrestrictionconfig,change_date
discussions_discussionsconfiguration,created
discussions_discussionsconfiguration,modified
discussions_discussionsconfiguration,context_key
discussions_discussionsconfiguration,enabled
discussions_discussionsconfiguration,plugin_configuration
discussions_discussionsconfiguration,provider_type
discussions_discussionsconfiguration,enable_graded_units
discussions_discussionsconfiguration,enable_in_context
discussions_providerfilter,id
