table,constraint,column,parent,prt_col
credentials_notifycredentialsconfig,credentials_notifycr_changed_by_id_e31cde0e_fk_auth_user,changed_by_id,auth_user,id
credit_creditconfig,credit_creditconfig_changed_by_id_72e1eca9_fk_auth_user_id,changed_by_id,auth_user,id
credit_crediteligibility,credit_crediteligibi_course_id_d86f481f_fk_credit_cr,course_id,credit_creditcourse,id
credit_creditrequest,credit_creditrequest_course_id_5478ceaf_fk_credit_cr,course_id,credit_creditcourse,id
credit_creditrequest,credit_creditrequest_provider_id_5465ab8b_fk_credit_cr,provider_id,credit_creditprovider,id
credit_creditrequirement,credit_creditrequire_course_id_b6aa812a_fk_credit_cr,course_id,credit_creditcourse,id
credit_creditrequirementstatus,credit_creditrequire_requirement_id_cde25c76_fk_credit_cr,requirement_id,credit_creditrequirement,id
dark_lang_darklangconfig,dark_lang_darklangconfig_changed_by_id_9a7df899_fk_auth_user_id,changed_by_id,auth_user,id
demographics_userdemographics,demographics_userdemographics_user_id_e435d5d5_fk_auth_user_id,user_id,auth_user,id
discounts_discountpercentageconfig,discounts_discountpe_changed_by_id_b00d7aa3_fk_auth_user,changed_by_id,auth_user,id
discounts_discountpercentageconfig,discounts_discountpe_course_id_19913d92_fk_course_ov,course_id,course_overviews_courseoverview,id
discounts_discountpercentageconfig,discounts_discountpe_site_id_b103a2af_fk_django_si,site_id,django_site,id
discounts_discountrestrictionconfig,discounts_discountre_changed_by_id_f18a5c1b_fk_auth_user,changed_by_id,auth_user,id
discounts_discountrestrictionconfig,discounts_discountre_course_id_d7f6674b_fk_course_ov,course_id,course_overviews_courseoverview,id
discounts_discountrestrictionconfig,discounts_discountre_site_id_3f4c1be6_fk_django_si,site_id,django_site,id
discussions_discussionsconfiguration,discussions_discussi_lti_configuration_id_7088d266_fk_lti_consu,lti_configuration_id,lti_consumer_lticonfiguration,id
discussions_providerfilter,discussions_provider_changed_by_id_771ce4d3_fk_auth_user,changed_by_id,auth_user,id
discussions_providerfilter,discussions_provider_course_id_7b7d915c_fk_course_ov,course_id,course_overviews_courseoverview,id
discussions_providerfilter,discussions_providerfilter_site_id_9c77a203_fk_django_site_id,site_id,django_site,id
embargo_countryaccessrule,embargo_countryacces_country_id_6af33e89_fk_embargo_c,country_id,embargo_country,id
embargo_countryaccessrule,embargo_countryacces_restricted_course_id_eedb3d21_fk_embargo_r,restricted_course_id,embargo_restrictedcourse,id
embargo_embargoedstate,embargo_embargoedstate_changed_by_id_f7763260_fk_auth_user_id,changed_by_id,auth_user,id
embargo_ipfilter,embargo_ipfilter_changed_by_id_39e4eed2_fk_auth_user_id,changed_by_id,auth_user,id
entitlements_courseentitlement,entitlements_coursee__policy_id_37bd7c13_fk_entitleme,_policy_id,entitlements_courseentitlementpolicy,id
entitlements_courseentitlement,entitlements_coursee_enrollment_course_ru_3fc796af_fk_student_c,enrollment_course_run_id,student_courseenrollment,id
entitlements_courseentitlement,entitlements_courseentitlement_user_id_a518a225_fk_auth_user_id,user_id,auth_user,id
entitlements_courseentitlementpolicy,entitlements_coursee_site_id_c7a9e107_fk_django_si,site_id,django_site,id
entitlements_courseentitlementsupportdetail,entitlements_coursee_entitlement_id_93b9020b_fk_entitleme,entitlement_id,entitlements_courseentitlement,id
entitlements_courseentitlementsupportdetail,entitlements_coursee_support_user_id_97d3095e_fk_auth_user,support_user_id,auth_user,id
experiments_experimentdata,experiments_experimentdata_user_id_bd6f4720_fk_auth_user_id,user_id,auth_user,id
external_user_ids_externalid,external_user_ids_ex_external_id_type_id_421db1af_fk_external_,external_id_type_id,external_user_ids_externalidtype,id
external_user_ids_externalid,external_user_ids_externalid_user_id_7789441b_fk_auth_user_id,user_id,auth_user,id
grades_computegradessetting,grades_computegrades_changed_by_id_f2bf3678_fk_auth_user,changed_by_id,auth_user,id
grades_coursepersistentgradesflag,grades_coursepersist_changed_by_id_c8c392d6_fk_auth_user,changed_by_id,auth_user,id
grades_persistentgradesenabledflag,grades_persistentgra_changed_by_id_f80cdad1_fk_auth_user,changed_by_id,auth_user,id
grades_persistentsubsectiongrade,grades_persistentsub_visible_blocks_hash_20836274_fk_grades_vi,visible_blocks_hash,grades_visibleblocks,hashed
grades_persistentsubsectiongradeoverride,grades_persistentsub_grade_id_74123016_fk_grades_pe,grade_id,grades_persistentsubsectiongrade,id
instructor_task_gradereportsetting,instructor_task_grad_changed_by_id_dae9a995_fk_auth_user,changed_by_id,auth_user,id
instructor_task_instructortask,instructor_task_inst_requester_id_307f955d_fk_auth_user,requester_id,auth_user,id
learning_sequences_contenterror,learning_sequences_c_publish_report_id_d0ec7d1b_fk_learning_,publish_report_id,learning_sequences_publishreport,id
learning_sequences_coursecontext,learning_sequences_c_learning_context_id_fe16b41d_fk_learning_,learning_context_id,learning_sequences_learningcontext,id
learning_sequences_coursesection,learning_sequences_c_course_context_id_f9845b47_fk_learning_,course_context_id,learning_sequences_coursecontext,learning_context_id
learning_sequences_coursesectionsequence,learning_sequences_c_course_context_id_bb2762af_fk_learning_,course_context_id,learning_sequences_coursecontext,learning_context_id
learning_sequences_coursesectionsequence,learning_sequences_c_section_id_646c2074_fk_learning_,section_id,learning_sequences_coursesection,id
learning_sequences_coursesectionsequence,learning_sequences_c_sequence_id_e6a12a64_fk_learning_,sequence_id,learning_sequences_learningsequence,id
learning_sequences_coursesequenceexam,learning_sequences_c_course_section_seque_89ce42a5_fk_learning_,course_section_sequence_id,learning_sequences_coursesectionsequence,id
learning_sequences_learningsequence,learning_sequences_l_learning_context_id_25f3e4ab_fk_learning_,learning_context_id,learning_sequences_learningcontext,id
learning_sequences_publishreport,learning_sequences_p_learning_context_id_dd7a29fd_fk_learning_,learning_context_id,learning_sequences_learningcontext,id
learning_sequences_sectionpartitiongroup,learning_sequences_s_course_section_id_1e04b4f2_fk_learning_,course_section_id,learning_sequences_coursesection,id
learning_sequences_sectionpartitiongroup,learning_sequences_s_user_partition_group_39a895cd_fk_learning_,user_partition_group_id,learning_sequences_userpartitiongroup,id
learning_sequences_sectionsequencepartitiongroup,learning_sequences_s_course_section_seque_555798e5_fk_learning_,course_section_sequence_id,learning_sequences_coursesectionsequence,id
learning_sequences_sectionsequencepartitiongroup,learning_sequences_s_user_partition_group_28eb4c91_fk_learning_,user_partition_group_id,learning_sequences_userpartitiongroup,id
lms_xblock_xblockasidesconfig,lms_xblock_xblockasi_changed_by_id_71928be3_fk_auth_user,changed_by_id,auth_user,id
mobile_api_ignoremobileavailableflagconfig,mobile_api_ignoremob_changed_by_id_4ca9c0d6_fk_auth_user,changed_by_id,auth_user,id
