model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
UserProfile,zerver.models,zerver,zerver_userprofile,default_events_register_stream,ForeignKey,zerver_userprofile,,+,False,,False,True,zerver_stream,,,SET_NULL,no,
UserProfile,zerver.models,zerver,zerver_userprofile,default_all_public_streams,BooleanField,zerver_userprofile,,,False,,False,False,,,False,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,timezone,CharField,zerver_userprofile,,,False,40,False,False,,,,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,avatar_source,CharField,zerver_userprofile,,,False,1,False,False,,,G,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,avatar_version,PositiveSmallIntegerField,zerver_userprofile,,,False,,False,False,,,1,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,avatar_hash,CharField,zerver_userprofile,,,False,64,False,True,,,,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,tutorial_status,CharField,zerver_userprofile,,,False,1,False,False,,,W,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,onboarding_steps,TextField,zerver_userprofile,,,False,,False,False,,,[],,no,
UserProfile,zerver.models,zerver,zerver_userprofile,zoom_token,JSONField,zerver_userprofile,,,False,,False,True,,,,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,groups,ManyToManyField,zerver_userprofile,UserProfile_groups,user_set,False,,False,False,auth_group,ManyToManyField,,,no,
UserProfile,zerver.models,zerver,zerver_userprofile,user_permissions,ManyToManyField,zerver_userprofile,UserProfile_user_permissions,user_set,False,,False,False,auth_permission,ManyToManyField,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,direct_supergroups,ManyToManyRel,zerver_usergroup,,,,,,,zerver_usergroup,ManyToManyField,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,scheduledmessagenotificationemail,ManyToOneRel,zerver_usergroup,,,,,,,zerver_scheduledmessagenotificationemail,ForeignKey,,CASCADE,no,
UserGroup,zerver.models,zerver,zerver_usergroup,id,AutoField,zerver_usergroup,,,True,,False,False,,,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,name,CharField,zerver_usergroup,,,False,100,False,False,,,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,realm,ForeignKey,zerver_usergroup,,,False,,False,False,zerver_realm,,,CASCADE,no,
UserGroup,zerver.models,zerver,zerver_usergroup,description,TextField,zerver_usergroup,,,False,,False,False,,,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,is_system_group,BooleanField,zerver_usergroup,,,False,,False,False,,,False,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,direct_members,ManyToManyField,zerver_usergroup,UserGroupMembership,direct_groups,False,,False,False,zerver_userprofile,ManyToManyField,,,no,
UserGroup,zerver.models,zerver,zerver_usergroup,direct_subgroups,ManyToManyField,zerver_usergroup,GroupGroupMembership,direct_supergroups,False,,False,False,zerver_usergroup,ManyToManyField,,,no,
UserGroupMembership,zerver.models,zerver,zerver_usergroupmembership,id,AutoField,zerver_usergroupmembership,,,True,,False,False,,,,,no,
UserGroupMembership,zerver.models,zerver,zerver_usergroupmembership,user_group,ForeignKey,zerver_usergroupmembership,,+,False,,False,False,zerver_usergroup,,,CASCADE,yes,
UserGroupMembership,zerver.models,zerver,zerver_usergroupmembership,user_profile,ForeignKey,zerver_usergroupmembership,,+,False,,False,False,zerver_userprofile,,,CASCADE,yes,
GroupGroupMembership,zerver.models,zerver,zerver_groupgroupmembership,id,AutoField,zerver_groupgroupmembership,,,True,,False,False,,,,,no,
GroupGroupMembership,zerver.models,zerver,zerver_groupgroupmembership,supergroup,ForeignKey,zerver_groupgroupmembership,,+,False,,False,False,zerver_usergroup,,,CASCADE,yes,
GroupGroupMembership,zerver.models,zerver,zerver_groupgroupmembership,subgroup,ForeignKey,zerver_groupgroupmembership,,+,False,,False,False,zerver_usergroup,,,CASCADE,yes,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,id,AutoField,zerver_preregistrationuser,,,True,,False,False,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,email,EmailField,zerver_preregistrationuser,,,False,254,False,False,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,full_name,CharField,zerver_preregistrationuser,,,False,100,False,True,,,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,full_name_validated,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,False,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,referred_by,ForeignKey,zerver_preregistrationuser,,,False,,False,True,zerver_userprofile,,,CASCADE,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,invited_at,DateTimeField,zerver_preregistrationuser,,,False,,False,False,,,,,no,1
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,realm_creation,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,False,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,password_required,BooleanField,zerver_preregistrationuser,,,False,,False,False,,,True,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,status,IntegerField,zerver_preregistrationuser,,,False,,False,False,,,0,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,realm,ForeignKey,zerver_preregistrationuser,,,False,,False,True,zerver_realm,,,CASCADE,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,invited_as,PositiveSmallIntegerField,zerver_preregistrationuser,,,False,,False,False,,,400,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,streams,ManyToManyField,zerver_preregistrationuser,PreregistrationUser_streams,,False,,False,False,zerver_stream,ManyToManyField,,,no,
PreregistrationUser,zerver.models,zerver,zerver_preregistrationuser,confirmation,GenericRelation,zerver_preregistrationuser,,prereg_user,False,,False,True,confirmation_confirmation,,,DO_NOTHING,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,id,AutoField,zerver_multiuseinvite,,,True,,False,False,,,,,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,referred_by,ForeignKey,zerver_multiuseinvite,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,realm,ForeignKey,zerver_multiuseinvite,,,False,,False,False,zerver_realm,,,CASCADE,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,invited_as,PositiveSmallIntegerField,zerver_multiuseinvite,,,False,,False,False,,,400,,no,
MultiuseInvite,zerver.models,zerver,zerver_multiuseinvite,streams,ManyToManyField,zerver_multiuseinvite,MultiuseInvite_streams,,False,,False,False,zerver_stream,ManyToManyField,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,id,AutoField,zerver_emailchangestatus,,,True,,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,new_email,EmailField,zerver_emailchangestatus,,,False,254,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,old_email,EmailField,zerver_emailchangestatus,,,False,254,False,False,,,,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,updated_at,DateTimeField,zerver_emailchangestatus,,,False,,False,False,,,,,no,1
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,user_profile,ForeignKey,zerver_emailchangestatus,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,status,IntegerField,zerver_emailchangestatus,,,False,,False,False,,,0,,no,
EmailChangeStatus,zerver.models,zerver,zerver_emailchangestatus,realm,ForeignKey,zerver_emailchangestatus,,,False,,False,False,zerver_realm,,,CASCADE,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,id,AutoField,zerver_pushdevicetoken,,,True,,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,kind,PositiveSmallIntegerField,zerver_abstractpushdevicetoken,,,False,,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,token,CharField,zerver_abstractpushdevicetoken,,,False,4096,False,False,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,last_updated,DateTimeField,zerver_abstractpushdevicetoken,,,False,,False,False,,,,,no,1
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,ios_app_id,TextField,zerver_abstractpushdevicetoken,,,False,,False,True,,,,,no,
PushDeviceToken,zerver.models,zerver,zerver_pushdevicetoken,user,ForeignKey,zerver_pushdevicetoken,,,False,,False,False,zerver_userprofile,,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,preregistrationuser,ManyToManyRel,zerver_stream,,,,,,,zerver_preregistrationuser,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,multiuseinvite,ManyToManyRel,zerver_stream,,,,,,,zerver_multiuseinvite,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,usertopic,ManyToOneRel,zerver_stream,,,,,,,zerver_usertopic,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,defaultstream,ManyToOneRel,zerver_stream,,,,,,,zerver_defaultstream,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,defaultstreamgroup,ManyToManyRel,zerver_stream,,,,,,,zerver_defaultstreamgroup,ManyToManyField,,,no,
Stream,zerver.models,zerver,zerver_stream,scheduledmessage,ManyToOneRel,zerver_stream,,,,,,,zerver_scheduledmessage,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,realmauditlog,ManyToOneRel,zerver_stream,,,,,,,zerver_realmauditlog,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,streamcount,ManyToOneRel,zerver_stream,,,,,,,analytics_streamcount,ForeignKey,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,id,AutoField,zerver_stream,,,True,,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,name,CharField,zerver_stream,,,False,60,False,False,,,,,no,
Stream,zerver.models,zerver,zerver_stream,realm,ForeignKey,zerver_stream,,,False,,False,False,zerver_realm,,,CASCADE,no,
Stream,zerver.models,zerver,zerver_stream,date_created,DateTimeField,zerver_stream,,,False,,False,False,,,<function now at 0x7f8bbb015ee0>,,no,
Stream,zerver.models,zerver,zerver_stream,deactivated,BooleanField,zerver_stream,,,False,,False,False,,,False,,no,
Stream,zerver.models,zerver,zerver_stream,description,CharField,zerver_stream,,,False,1024,False,False,,,,,no,
