table,column,parent,prt_col
shuup_gdpr_gdpruserconsent,user,auth_user,id
shuup_gdpr_gdpruserconsentdocument,page,shuup_simple_cms_page,id
shuup_gdpr_gdpruserconsentdocument,version,reversion_version,id
shuup_gdpr_gdpruserconsent_documents,gdpruserconsentdocument,shuup_gdpr_gdpruserconsentdocument,id
shuup_gdpr_gdpruserconsent_documents,gdpruserconsent,shuup_gdpr_gdpruserconsent,id
shuup_gdpr_gdprsettings_consent_pages,gdprsettings,shuup_gdpr_gdprsettings,id
shuup_gdpr_gdprsettings_consent_pages,page,shuup_simple_cms_page,id
shuup_gdpr_gdprsettings,privacy_policy_page,shuup_simple_cms_page,id
shuup_gdpr_gdprcookiecategory_block_snippets,gdprcookiecategory,shuup_gdpr_gdprcookiecategory,id
shuup_gdpr_gdprcookiecategory_block_snippets,snippet,shuup_xtheme_snippet,id
shuup_notify_notification,marked_read_by,auth_user,id
shuup_notify_notification,recipient,auth_user,id
shuup_notify_notification,shop,shuup_shop,id
shuup_notify_script,shop,shuup_shop,id
shuup_simple_cms_pageopengraph,image,filer_image,file_ptr_id
shuup_simple_cms_pageopengraph,page,shuup_simple_cms_page,id
shuup_simple_cms_page,supplier,shuup_supplier,id
shuup_simple_cms_page,parent,shuup_simple_cms_page,id
shuup_simple_cms_page_available_permission_groups,page,shuup_simple_cms_page,id
shuup_simple_cms_page_available_permission_groups,group,auth_group,id
shuup_tasks_task,assigned_to,shuup_contact,id
shuup_tasks_task,completed_by,shuup_contact,id
shuup_tasks_task,creator,shuup_contact,id
shuup_tasks_task,shop,shuup_shop,id
shuup_tasks_taskcomment,author,shuup_contact,id
shuup_tasks_taskcomment,task,shuup_tasks_task,id
shuup_tasks_tasktype,shop,shuup_shop,id
shuup_tasks_task,type,shuup_tasks_tasktype,id
shuup_xtheme_font,eot,filer_file,id
shuup_xtheme_font,shop,shuup_shop,id
shuup_xtheme_font,svg,filer_file,id
shuup_xtheme_font,ttf,filer_file,id
shuup_xtheme_font,woff,filer_file,id
shuup_xtheme_font,woff2,filer_file,id
shuup_xtheme_adminthemesettings,admin_body_font,shuup_xtheme_font,id
shuup_xtheme_adminthemesettings,admin_header_font,shuup_xtheme_font,id
shuup_xtheme_adminthemesettings,shop,shuup_shop,id
simple_supplier_stockadjustment,created_by,auth_user,id
simple_supplier_stockadjustment,supplier,shuup_supplier,id
simple_supplier_stockcount,supplier,shuup_supplier,id
simple_supplier_stockadjustment,product,shuup_product,id
simple_supplier_stockcount,product,shuup_product,id
