model,module,app,table,field,field_type,parent,through_model,related_names,primary_key,max_length,unique,null,related_model,foreign_type,default,on_delete,is_m2m_field,auto_now
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,description,TextField,shipping_abstractbase,,,False,,False,False,,,,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,price_per_order,DecimalField,shipping_abstractorderanditemcharges,,,False,,False,False,,,0.00,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,price_per_item,DecimalField,shipping_abstractorderanditemcharges,,,False,,False,False,,,0.00,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,free_shipping_threshold,DecimalField,shipping_abstractorderanditemcharges,,,False,,False,True,,,,,no,
OrderAndItemCharges,oscar.apps.shipping.models,shipping,shipping_orderanditemcharges,countries,ManyToManyField,shipping_orderanditemcharges,OrderAndItemCharges_countries,,False,,False,False,address_country,ManyToManyField,,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,bands,ManyToOneRel,shipping_weightbased,,,,,,,shipping_weightband,ForeignKey,,CASCADE,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,id,BigAutoField,shipping_weightbased,,,True,,False,False,,,,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,code,AutoSlugField,shipping_abstractbase,,,False,128,True,False,,,,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,name,CharField,shipping_abstractbase,,,False,128,True,False,,,,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,description,TextField,shipping_abstractbase,,,False,,False,False,,,,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,default_weight,DecimalField,shipping_abstractweightbased,,,False,,False,False,,,0.000,,no,
WeightBased,oscar.apps.shipping.models,shipping,shipping_weightbased,countries,ManyToManyField,shipping_weightbased,WeightBased_countries,,False,,False,False,address_country,ManyToManyField,,,no,
WeightBand,oscar.apps.shipping.models,shipping,shipping_weightband,id,BigAutoField,shipping_weightband,,,True,,False,False,,,,,no,
WeightBand,oscar.apps.shipping.models,shipping,shipping_weightband,method,ForeignKey,shipping_weightband,,bands,False,,False,False,shipping_weightbased,,,CASCADE,no,
WeightBand,oscar.apps.shipping.models,shipping,shipping_weightband,upper_limit,DecimalField,shipping_abstractweightband,,,False,,False,False,,,,,no,
WeightBand,oscar.apps.shipping.models,shipping,shipping_weightband,charge,DecimalField,shipping_abstractweightband,,,False,,False,False,,,,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,products,ManyToOneRel,catalogue_productclass,,,,,,,catalogue_product,ForeignKey,,PROTECT,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,attributes,ManyToOneRel,catalogue_productclass,,,,,,,catalogue_productattribute,ForeignKey,,CASCADE,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,classes,ManyToManyRel,catalogue_productclass,,,,,,,offer_range,ManyToManyField,,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,id,BigAutoField,catalogue_productclass,,,True,,False,False,,,,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,name,CharField,catalogue_abstractproductclass,,,False,128,False,False,,,,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,slug,AutoSlugField,catalogue_abstractproductclass,,,False,128,True,False,,,,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,requires_shipping,BooleanField,catalogue_abstractproductclass,,,False,,False,False,,,True,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,track_stock,BooleanField,catalogue_abstractproductclass,,,False,,False,False,,,True,,no,
ProductClass,oscar.apps.catalogue.models,catalogue,catalogue_productclass,options,ManyToManyField,catalogue_productclass,ProductClass_options,,False,,False,False,catalogue_option,ManyToManyField,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,productcategory,ManyToOneRel,catalogue_category,,,,,,,catalogue_productcategory,ForeignKey,,CASCADE,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,product,ManyToManyRel,catalogue_category,,,,,,,catalogue_product,ManyToManyField,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,includes,ManyToManyRel,catalogue_category,,,,,,,offer_range,ManyToManyField,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,id,BigAutoField,catalogue_category,,,True,,False,False,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,path,CharField,treebeard_mp_node,,,False,255,True,False,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,depth,PositiveIntegerField,treebeard_mp_node,,,False,,False,False,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,numchild,PositiveIntegerField,treebeard_mp_node,,,False,,False,False,,,0,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,name,CharField,catalogue_abstractcategory,,,False,255,False,False,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,description,TextField,catalogue_abstractcategory,,,False,,False,True,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,meta_title,CharField,catalogue_abstractcategory,,,False,255,False,True,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,meta_description,TextField,catalogue_abstractcategory,,,False,,False,True,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,image,ImageField,catalogue_category,,,False,255,False,True,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,slug,SlugField,catalogue_abstractcategory,,,False,255,False,False,,,,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,is_public,BooleanField,catalogue_abstractcategory,,,False,,False,False,,,True,,no,
Category,oscar.apps.catalogue.models,catalogue,catalogue_category,ancestors_are_public,BooleanField,catalogue_abstractcategory,,,False,,False,False,,,True,,no,
ProductCategory,oscar.apps.catalogue.models,catalogue,catalogue_productcategory,id,BigAutoField,catalogue_productcategory,,,True,,False,False,,,,,no,
ProductCategory,oscar.apps.catalogue.models,catalogue,catalogue_productcategory,product,ForeignKey,catalogue_productcategory,,,False,,False,False,catalogue_product,,,CASCADE,yes,
ProductCategory,oscar.apps.catalogue.models,catalogue,catalogue_productcategory,category,ForeignKey,catalogue_productcategory,,,False,,False,False,catalogue_category,,,CASCADE,yes,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,stats,OneToOneRel,catalogue_product,,,,,,,analytics_productrecord,OneToOneField,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,userproductview,ManyToOneRel,catalogue_product,,,,,,,analytics_userproductview,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,productcategory,ManyToOneRel,catalogue_product,,,,,,,catalogue_productcategory,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,children,ManyToOneRel,catalogue_product,,,,,,,catalogue_product,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,product,ManyToManyRel,catalogue_product,,,,,,,catalogue_product,ManyToManyField,,,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,primary_recommendations,ManyToOneRel,catalogue_product,,,,,,,catalogue_productrecommendation,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,productrecommendation,ManyToOneRel,catalogue_product,,,,,,,catalogue_productrecommendation,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,attribute_values,ManyToOneRel,catalogue_product,,,,,,,catalogue_productattributevalue,ForeignKey,,CASCADE,no,
Product,oscar.apps.catalogue.models,catalogue,catalogue_product,images,ManyToOneRel,catalogue_product,,,,,,,catalogue_productimage,ForeignKey,,CASCADE,no,
